Time,X-coordinate,Y-coordinate
0.000000000000000000e+00,7.071067811865476838e-01,2.707106781186547462e+00
1.000000000000000021e-02,6.998285854132839656e-01,2.689685606700074949e+00
2.000000000000000042e-02,6.753843478721665017e-01,2.657271575574977618e+00
2.999999999999999889e-02,6.270821255236702640e-01,2.611094673069590311e+00
4.000000000000000083e-02,5.525294364374349065e-01,2.551872674163873533e+00
5.000000000000000278e-02,4.540456198109791841e-01,2.480439832355162633e+00
5.999999999999999778e-02,3.379968221737683631e-01,2.398209748255475393e+00
7.000000000000000666e-02,2.131474504764970801e-01,2.307376373363506428e+00
8.000000000000000167e-02,8.861033379187133185e-02,2.210816608642397263e+00
8.999999999999999667e-02,-2.788152407638500030e-02,2.111752368691079962e+00
1.000000000000000056e-01,-1.309253042781235443e-01,2.013314127417200616e+00
1.100000000000000006e-01,-2.175924577010975858e-01,1.918163921446231379e+00
1.199999999999999956e-01,-2.870357973456092449e-01,1.828276434493980140e+00
1.300000000000000044e-01,-3.398900126583228598e-01,1.744891902814296181e+00
1.400000000000000133e-01,-3.776994396077176797e-01,1.668595996193942055e+00
1.499999999999999944e-01,-4.024769202885877251e-01,1.599464849065631800e+00
1.600000000000000033e-01,-4.164055640546661108e-01,1.537224298392979582e+00
1.700000000000000122e-01,-4.216529141619328458e-01,1.481392076557524362e+00
1.799999999999999933e-01,-4.202588499038529823e-01,1.431388832538791567e+00
1.900000000000000022e-01,-4.140665587606223719e-01,1.386615151840469018e+00
2.000000000000000111e-01,-4.046782540871793898e-01,1.346498059971433348e+00
2.099999999999999922e-01,-3.934279621344709543e-01,1.310513540677292310e+00
2.200000000000000011e-01,-3.813702555660476445e-01,1.278192596332512476e+00
2.300000000000000100e-01,-3.692859858120923766e-01,1.249117948569568926e+00
2.399999999999999911e-01,-3.577049192793610999e-01,1.222917029713951331e+00
2.500000000000000000e-01,-3.469424894844405083e-01,1.199254935027405100e+00
2.600000000000000089e-01,-3.371454193688480094e-01,1.177829058582462007e+00
2.700000000000000178e-01,-3.283398902091070326e-01,1.158365678435866464e+00
2.800000000000000266e-01,-3.204764807932055648e-01,1.140617973235499072e+00
2.899999999999999800e-01,-3.134678056484789810e-01,1.124364751638007309e+00
2.999999999999999889e-01,-3.072168956803515982e-01,1.109409322243331220e+00
3.099999999999999978e-01,-3.016362473145715040e-01,1.095578191981339211e+00
3.200000000000000067e-01,-2.966587682312377128e-01,1.082719507156755245e+00
3.300000000000000155e-01,-2.922425049342251002e-01,1.070701289249085253e+00
3.400000000000000244e-01,-2.883711659074730260e-01,1.059409573339219701e+00
3.500000000000000333e-01,-2.850522383333616849e-01,1.048746560183336340e+00
3.599999999999999867e-01,-2.823141127217557722e-01,1.038628872175900053e+00
3.699999999999999956e-01,-2.802032117240952358e-01,1.028985977650969774e+00
3.800000000000000044e-01,-2.787817507226272307e-01,1.019758826558945231e+00
3.900000000000000133e-01,-2.781264807055094934e-01,1.010898726981460438e+00
4.000000000000000222e-01,-2.783285919940551301e-01,1.002366487247592586e+00
4.100000000000000311e-01,-2.794948888037925849e-01,9.941318536870693556e-01
4.199999999999999845e-01,-2.817503750693732822e-01,9.861732923513160110e-01
4.299999999999999933e-01,-2.852425283227441044e-01,9.784782019457810565e-01
4.400000000000000022e-01,-2.901478193491187629e-01,9.710437228319361846e-01
4.500000000000000111e-01,-2.966815761428207021e-01,9.638784687302869303e-01
4.600000000000000200e-01,-3.051134116991205958e-01,9.570058830969923047e-01
4.700000000000000289e-01,-3.157931233300085294e-01,9.504709659530199417e-01
4.799999999999999822e-01,-3.292001345900451570e-01,9.443561994719241737e-01
4.899999999999999911e-01,-3.460749462682126132e-01,9.388629707687125014e-01
5.000000000000000000e-01,-3.680809636143814179e-01,9.343838768941006290e-01
5.100000000000000089e-01,-3.975232181826229838e-01,9.314206878897020037e-01
5.200000000000000178e-01,-4.363062237523072651e-01,9.303419823228558094e-01
5.300000000000000266e-01,-4.850007412922304195e-01,9.311215968957666789e-01
5.400000000000000355e-01,-5.425320494577781094e-01,9.332356666970347270e-01
5.500000000000000444e-01,-6.064076882306390637e-01,9.357742082463434974e-01
5.600000000000000533e-01,-6.731729680023271767e-01,9.376822881226342110e-01
5.700000000000000622e-01,-7.388630077819898778e-01,9.380061465421333233e-01
5.799999999999999600e-01,-7.993573549741115336e-01,9.360642043701887793e-01
5.899999999999999689e-01,-8.506212757752737996e-01,9.315240496141513615e-01
5.999999999999999778e-01,-8.888415358283213719e-01,9.244065797538676410e-01
6.099999999999999867e-01,-9.104657743522107660e-01,9.150543980654671783e-01
6.199999999999999956e-01,-9.121520837854716346e-01,9.041042634181652993e-01
6.300000000000000044e-01,-8.906337529835937072e-01,8.925062355009004689e-01
6.400000000000000133e-01,-8.425021952650202373e-01,8.816530232012922408e-01
6.500000000000000222e-01,-7.639119706067775128e-01,8.737674700263251548e-01
6.600000000000000311e-01,-6.502614554259630308e-01,8.730373677607848881e-01
6.700000000000000400e-01,-4.964975548192877008e-01,8.898777100369869020e-01
6.800000000000000488e-01,-3.138798400502574859e-01,9.767900939348730383e-01
6.900000000000000577e-01,-5.546367497394910639e-02,1.065164200179158138e+00
7.000000000000000666e-01,1.866782240918600233e-01,1.086045273940223765e+00
7.099999999999999645e-01,3.928610646092467462e-01,1.059296901327055895e+00
7.199999999999999734e-01,5.569294803121576098e-01,1.004983786982076799e+00
